dist,name,address,call,phone,openingHour,waterServerCount,settingPoint,lng,lat
大安,臺北市立大安運動中心,臺北市大安區辛亥路3段55號,臺北市立大安運動中心,(02)23770300,06:00~22:00,11,中心內,25.0207,121.5457
大安,臺北市立圖書館大安分館,臺北市大安區辛亥路三段223號4樓,臺北市立圖書館大安分館,(02)27325422,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.016,121.5508
大安,臺北市立圖書館成功民眾閱覽室,臺北市大安區和平東路二段311巷29號4樓,臺北市立圖書館成功民眾閱覽室,(02)27013604,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.0254,121.5452
大安,臺北市立圖書館延吉民眾閱覽室,臺北市大安區延吉街236巷17號3~4F,臺北市立圖書館延吉民眾閱覽室,(02)27081964,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0364,121.555
大安,臺北市立圖書館道藩分館,臺北市大安區辛亥路三段11號3樓,臺北市立圖書館道藩分館,(02)27334031,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.0215,121.544
大安,臺北市立圖書館龍安民眾閱覽室,臺北市大安區永康街60號3樓,臺北市立圖書館龍安民眾閱覽室,(02)23945485,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0285,121.5294
大安,臺北市立圖書館總館,臺北市大安區建國南路二段125號,臺北市立圖書館總館,(02)27552823,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,21,館內,25.0291,121.5383
大安,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路4段10號,臺北市立聯合醫院仁愛院區,(02)27093600,00:00~24:00,55,院區內,25.0372,121.5452
大安,大安地政事務所,臺北市大安區信義路四段335巷6號,大安地政事務所,(02)27548900,週一至週五：08:30~17:00,5,建物內,25.0338,121.5564
大安,大安區公所,臺北市大安區新生南路二段86號,大安區公所,(02)23511711,週一至週五：08:30~17:30,4,建物內,25.0264,121.5345
大安,大安區戶政事務所,臺北市大安區新生南路二段86號,大安區戶政事務所,(02)23587877,週一至週五：08:30~20:00,2,建物內,25.0264,121.5345
大安,客家文化會館 ,臺北市信義路三段157巷11號,客家文化會館 ,(02)27026141,週一至週日09:00~21:00,4,建物內,25.0345,121.543
